variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
C_Trend_Preserving_v2,Trend-Preserving v2,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
C_Trend_Preserving_v2,Trend-Preserving v2,2026,Allocation Strategy,-0.06415135234953795,-0.15568627747449304,-0.2653945279703831,-0.25345401960897795,-0.3527242892876102,0.38060337659485194,0.48951048951048953,0.8048951048951049,6.2,30,-0.24172070479424868
C_Trend_Preserving_v2,Trend-Preserving v2,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
D_Drawdown_Guard_v2,Drawdown Guard v2,2019,Allocation Strategy,0.26696009170200785,0.26696009170200785,-0.08700727250042528,1.76446974967323,1.5104828801814036,0.1395973045879543,0.16712328767123288,0.1401369863013699,6.6000000000000005,17,3.0682503201178153
D_Drawdown_Guard_v2,Drawdown Guard v2,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
D_Drawdown_Guard_v2,Drawdown Guard v2,2020,Allocation Strategy,1.5771633591191043,1.5705059263010344,-0.13285610172658602,2.788438024390317,3.727707448575877,0.36213890197065624,0.46994535519125685,0.4700819672131148,17.2,66,11.871215086265744
D_Drawdown_Guard_v2,Drawdown Guard v2,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
D_Drawdown_Guard_v2,Drawdown Guard v2,2021,Allocation Strategy,0.7924454613864857,0.7924454613864857,-0.3408497667157637,1.4799729886769857,2.133903394603476,0.46845913940652545,0.41643835616438357,0.5101369863013697,11.3,60,2.324911262290257
D_Drawdown_Guard_v2,Drawdown Guard v2,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
D_Drawdown_Guard_v2,Drawdown Guard v2,2022,Allocation Strategy,-0.42922779028980684,-0.42922779028980684,-0.4682692215569543,-1.4579172092199988,-1.613049993029517,0.3434897810547673,0.4,0.4489041095890411,13.700000000000003,66,-0.9166260999658742
